6
100	20	20	5
35.7581	71.3776	21.7663	6.9562	72.687	50.5385	245.6104	1.942	11.1582	15.5402	0.0	5.3404	37.817	23.5361	4.9463	0.5577	3.3557	9.619	6.2508	122.7688	0
2.1202	144.0322	12.5488	4.2346	11.9353	4.1862	436.0972	2.5426	1.0975	0.0941	0.0055	0.0091	20.3464	16.3669	7.5061	9.4704	5.7256	7.0368	0.702	324.1482	1
8.8889	78.1114	9.787	2.7225	28.1304	30.9039	502.0733	2.2641	12.5105	0.135	0.0	5.3674	7.5713	44.2555	2.6224	5.6931	4.3971	13.655	4.1133	134.4857	0
4.1047	39.976	4.8287	0.4912	11.2183	3.2917	126.2577	0.2	113.5855	0.1575	0.0039	0.0032	6.8459	23.3566	10.9434	8.5262	3.0062	8.0571	1.029	183.9984	1
7.0183	125.647	23.0461	3.4679	29.3523	13.8164	967.8378	2.1142	23.4257	0.0182	0.0	5.923	108.0216	11.5589	4.8242	4.1981	11.4175	19.5108	4.9017	173.0733	0
1.1313	27.6305	3.5262	0.0952	3.2275	0.4476	163.3341	0.8204	213.9672	0.0043	0.0	0.0	12.5371	4.8368	3.1785	5.1745	0.4299	4.7948	0.4494	33.6593	1
14.7859	145.5234	11.285	6.6207	56.6405	32.9578	470.9935	3.1088	10.6038	0.0716	0.0177	4.1718	10.5949	46.47	10.0877	2.0285	9.8422	14.4936	3.728	129.7113	0
1.3874	34.4677	9.5864	0.3819	4.3961	5.766	121.3457	1.2861	103.3551	0.0407	0.0188	0.0245	7.3489	7.611	10.3907	5.4012	1.0882	5.1989	0.8799	109.9769	1
6.1965	176.8086	33.1594	2.6696	78.7756	25.9433	941.9163	1.4192	13.4956	0.0748	0.0	0.274	35.1434	19.3187	7.4772	4.2346	3.4865	19.4	3.7207	313.1352	0
0.4791	16.3363	7.2485	0.126	7.3098	0.2786	278.4067	0.1402	119.4868	0.0101	0.0	0.0028	14.698	2.7498	11.8573	10.6488	0.6935	2.4751	0.316	98.0049	1
12.4904	54.979	22.8783	1.7211	25.1298	22.4119	648.8583	1.528	4.7716	0.0054	0.0	0.8487	35.824	9.565	4.2108	8.6421	4.7847	37.6014	4.6477	120.4171	0
1.5832	135.245	4.265	3.1558	17.2276	12.5894	465.5874	1.5759	2.8262	0.1774	0.116	0.0047	12.4188	39.7757	24.7831	7.0364	2.2378	14.7226	2.3159	214.1953	1
9.7198	128.8188	40.1136	5.5082	71.5397	59.0523	767.3074	1.5329	8.0167	0.0386	0.0	6.2841	19.9955	50.4512	7.008	4.9587	4.224	16.0652	7.6464	165.4667	0
2.127	43.3099	4.9138	0.6773	17.5914	3.9391	171.1459	0.2523	67.35	0.0264	0.0463	0.0096	9.1071	15.8997	34.0114	15.9977	3.4217	8.7136	1.7475	189.4658	1
14.8682	186.3404	31.5342	2.6863	30.2744	33.0476	598.1636	0.8386	29.6513	0.0181	0.0119	12.9988	16.2277	29.8324	21.7506	21.3077	7.6406	13.9617	9.256	208.338	0
1.4263	48.5682	2.5638	1.4722	18.1361	9.0385	254.3237	1.1722	115.8405	0.0442	0.0299	0.0038	13.0872	12.0328	14.0968	4.1452	0.8265	6.3873	1.3278	111.4364	1
8.4257	158.5447	12.2555	3.9583	102.3578	36.6986	597.572	1.7221	10.7283	0.0413	0.017	5.7658	26.4735	77.771	10.1014	5.4765	7.6243	12.8883	5.0223	180.0368	0
2.1961	46.1035	3.0222	0.8626	10.8032	1.5389	249.6151	0.4137	49.4484	0.0167	0.066	0.0103	10.379	18.0554	13.5514	8.115	2.6291	10.6544	2.8127	169.0806	1
3.3346	56.1982	6.2937	1.7711	124.9743	20.8603	296.035	1.5341	7.8409	2.1397	0.0	1.0154	10.4469	17.2646	8.4584	7.0058	5.0027	8.4065	6.9776	94.749	0
