6
50	10	5	2
3.3557	15.5402	71.3776	9.619	37.817	1.8826	245.6104	6.2508	16.8591	18.6741	0.0
5.7256	0.0941	144.0322	7.0368	20.3464	5.8618	436.0972	0.702	8.1208	39.9135	1.0
4.3971	0.135	78.1114	13.655	7.5713	0.4466	502.0733	4.1133	5.9755	19.4132	0.0
3.0062	0.1575	39.976	8.0571	6.8459	216.7732	126.2577	1.029	8.0705	3.1492	1.0
11.4175	0.0182	125.647	19.5108	108.0216	0.3694	967.8378	4.9017	8.1089	45.5355	0.0
0.4299	0.0043	27.6305	4.7948	12.5371	322.7002	163.3341	0.4494	9.7006	4.3708	1.0
9.8422	0.0716	145.5234	14.4936	10.5949	0.5937	470.9935	3.728	10.8671	21.5349	0.0
1.0882	0.0407	34.4677	5.1989	7.3489	423.7744	121.3457	0.8799	12.7333	1.9979	1.0
3.4865	0.0748	176.8086	19.4	35.1434	1.8959	941.9163	3.7207	19.6017	6.2142	0.0
0.6935	0.0101	16.3363	2.4751	14.698	330.2368	278.4067	0.316	3.9451	3.3555	1.0
4.7847	0.0054	54.979	37.6014	35.824	1.2314	648.8583	4.6477	5.4461	33.8697	0.0
2.2378	0.1774	135.245	14.7226	12.4188	13.7129	465.5874	2.3159	8.4629	8.621	1.0
4.224	0.0386	128.8188	16.0652	19.9955	1.476	767.3074	7.6464	15.9841	15.9839	0.0
3.4217	0.0264	43.3099	8.7136	9.1071	175.9693	171.1459	1.7475	17.8109	2.9152	1.0
7.6406	0.0181	186.3404	13.9617	16.2277	5.4116	598.1636	9.256	15.2987	12.3582	0.0
0.8265	0.0442	48.5682	6.3873	13.0872	154.139	254.3237	1.3278	9.709	4.7982	1.0
7.6243	0.0413	158.5447	12.8883	26.4735	2.6535	597.572	5.0223	14.4018	7.5474	0.0
2.6291	0.0167	46.1035	10.6544	10.379	17.6448	249.6151	2.8127	6.5668	8.1774	1.0
5.0027	2.1397	56.1982	8.4065	10.4469	1.2858	296.035	6.9776	15.0849	12.3736	0.0
4.4687	0.0	88.4442	16.6541	12.1494	137.7903	153.6003	3.125	17.9415	4.953	1.0
11.6541	0.1395	156.5368	22.4478	52.7204	0.5415	907.4357	3.1071	11.3295	5.6584	0.0
2.3082	0.0196	39.0491	9.112	9.2104	213.7467	155.1681	0.7639	4.8663	1.4755	1.0
4.6542	6.6743	34.6533	13.9061	92.3481	0.4685	673.4403	1.7277	12.0994	0.7516	0.0
2.1036	0.08	55.6768	11.932	19.2618	171.9193	115.2409	1.3857	8.7055	2.6808	1.0
5.3064	0.1397	89.5595	38.4105	12.4867	1.3388	135.2445	10.5044	11.0648	7.9831	0.0
1.0977	0.244	87.161	16.5623	8.7428	54.7279	174.6963	2.3412	15.531	4.0024	1.0
13.8984	0.0442	109.3926	14.5301	41.9107	1.6639	585.207	6.326	13.2803	20.9222	0.0
2.472	0.0042	70.8011	18.3724	6.4478	255.7293	137.8216	1.6432	9.6356	1.0898	1.0
8.8757	0.0122	114.2304	10.5981	7.1007	0.8438	363.483	7.2995	9.4288	32.3848	0.0
1.9561	0.0373	55.3736	13.2483	4.9253	206.4543	112.4495	3.7661	12.6964	6.5618	1.0
7.7004	1.3941	114.8819	15.6351	9.1211	0.7941	202.454	3.9649	9.2202	16.3457	0.0
2.3625	0.0057	69.323	21.3311	3.6785	104.2009	95.121	0.7903	8.4893	2.4064	1.0
6.7956	0.0058	192.1551	17.1236	8.896	1.3993	203.1516	5.1776	11.8631	15.0151	0.0
1.8692	0.019	46.3991	16.5052	6.2186	380.2486	160.0858	0.702	10.1648	3.8336	1.0
9.0886	0.2741	140.5153	16.863	6.7323	4.9039	120.9083	4.499	25.3343	12.4748	0.0
1.2371	0.028	28.2529	1.5312	9.6809	284.3662	148.1324	1.4772	8.77	7.1877	1.0
15.6834	0.2412	101.4663	10.9074	9.2434	2.3833	290.5995	5.6025	13.8827	35.0267	0.0
1.2302	0.0114	41.8566	16.5952	13.8334	206.0349	197.8539	0.6217	5.8778	5.2854	1.0
2.2513	0.0639	40.3987	8.2915	16.099	0.9522	347.8643	5.1715	10.8186	28.5249	0.0
1.8195	0.0	49.6358	8.1874	6.9686	556.3544	143.4884	1.7266	9.4785	2.5266	1.0
7.8624	4.7097	63.9392	13.6105	27.133	0.9298	447.74	8.1318	9.6509	4.8306	0.0
1.5186	0.0163	43.0234	9.5261	6.5698	282.2663	126.3183	1.0937	10.4779	4.3833	1.0
11.9734	0.1123	135.491	31.0995	25.8852	1.1148	596.964	11.2253	14.6068	9.7929	0.0
1.2186	0.0035	60.0575	11.0553	10.6641	501.2432	122.8195	0.674	9.0415	2.1001	1.0
11.3932	0.0779	181.1531	9.3911	25.2334	0.734	307.0906	9.094	9.9301	13.0458	0.0
1.6428	0.0041	64.2543	11.9705	32.507	18.915	317.2043	1.6961	4.6473	5.5414	1.0
6.2053	0.0037	167.4428	9.9978	11.8096	0.5869	428.4485	3.5517	5.2065	27.1263	0.0
0.994	0.0333	52.8229	12.6183	9.593	363.2636	154.4308	1.5833	15.8141	6.7875	1.0
4.725	0.0263	188.6772	28.464	27.6055	2.4178	419.9249	4.5139	16.935	10.4767	0.0
0.6612	0.0045	24.752	11.7885	1.8639	384.2521	182.2044	0.5946	8.89	2.7196	1.0
